"","X","StdPeak","ratio","StdSize","pg","RCS","a_mean","a_stddev","linearity","b_mean","b_stddev","k","a1_count","a2_count","a_s_count","b1_count","b2_count","b_s_count","a_CV","b_CV","Species"
"1","2025-06-11_PD_MD_Fly PI_1.fcs","A",NA,1.18,NA,2.58534249533476,10.4662008643862,0.26956156289248,1.87852712100959,NA,NA,NA,5.99161806431515e-07,83.1655925937275,0.149819985116424,NA,NA,NA,0.0257554356528479,NA,NA
"2","2025-06-11_PD_MD_Ofl1000_1-10_1.fcs","A",5.08568809875111,1.18,6.0011119565263,2.57643928192846,11.9995594428418,1.08465678936159,1.94971513737004,61.0260166487171,3.95489731900555,NA,189.420438710533,0,0,1484.87801218794,0,427.314857543439,0.0903913843277497,0.0648067420452993,NA
"3","2025-06-11_PD_MD_Ofl1000_1-11_1.fcs","A",4.96572344279145,1.18,5.85955366249391,6.48038559059511,12.0568964262141,0.89761824192984,1.91277066650376,59.87121323096,5.04962715383922,NA,306.767200129642,0,0,11185.5206177231,72.4764851073322,1199.30615381212,0.0744485322091875,0.0843414870241516,NA
"4","2025-06-11_PD_MD_Ofl1000_1-12.fcs","A",5.29617468401895,1.18,6.24948612714236,4.29816440239225,11.5429049192028,0.311698838257128,1.92985787875579,61.1332408131194,3.78025265473877,NA,4.95941524942495e-11,47.8880346646433,0,6088.37816449186,0,1134.9847553127,0.027003500456682,0.0618362875001961,NA
"5","2025-06-11_PD_MD_Ofl1000_1-3_1.fcs","A",5.39738237878544,1.18,6.36891120696682,3.34744151871704,11.5644040359508,1.0256693320448,1.95008907753509,62.4175105647963,3.13915077224162,NA,718.64705800783,94.874218178121,5.60823605983333,3651.66931783175,0,684.952772385349,0.0886919316253781,0.0502927903377824,NA
"6","2025-06-11_PD_MD_Ofl1000_1-4_1.fcs","A",5.47081607436556,1.18,6.45556296775136,8.7969269121127,10.9832843992198,0.348979519016105,2.02489975593335,60.08752884058,3.73984622233012,NA,1.02010727002749e-05,143.985706084589,209.120147229345,1931.40983831392,24.2669158391659,345.285859177767,0.0317736941274958,0.0622399738263894,NA
"7","2025-06-11_PD_MD_Ofl1000_1-5_1.fcs","A",5.03356279228854,1.18,5.93960409490048,2.0622251910211,12.2853364589032,1.08914498909851,1.84599894185005,61.8390124902809,3.73174112670283,NA,806.725086364226,215.743431495687,4.8096232779611,2618.56437280091,103.568105333098,445.919263497193,0.0886540627309563,0.06034606596102,NA
"8","2025-06-11_PD_MD_Ofl1000_1-6_1.fcs","A",5.3711395137916,1.18,6.33794462627409,1.63212725379343,11.3572694306268,0.974564997702247,1.87294486479549,61.0014786076169,3.7613426084817,NA,729.804023225654,97.3964982473607,23.6965682920564,2006.72280254458,0,288.745380644535,0.0858097981786159,0.0616598596351408,NA
"9","2025-06-11_PD_MD_Ofl1000_1-7_1.fcs","A",4.97034307694321,1.18,5.86500483079299,1.38187277669438e+34,11.7625104937025,0.964386518158907,1.97082119040569,58.4637125998462,5.01240347945261,NA,180.607910729555,0,0,2018.52186112035,79.0449673586325,275.919456128034,0.0819881536917842,0.0857352921419807,NA
"10","2025-06-11_PD_MD_Ofl1000_1-7_2.fcs","A",4.94680292053637,1.18,5.83722744623291,1.07699678761407e+39,11.8200854141051,0.980401846631501,1.79113108417556,58.4716330474846,5.07367058726545,NA,188.853314054748,0,0,2053.17883348781,129.563841949002,156.392816902401,0.082943719295088,0.0867714876912218,NA
"11","2025-06-11_PD_MD_Ofl1000_1-8_1.fcs","A",4.96306652556599,1.18,5.85641850016786,1.70300183301034,12.0903248122653,1.47738470679428,1.94428540001278,60.005086358974,4.85019116329013,NA,488.59488358964,131.029671664991,159.855085522777,926.289375214143,0,270.399288242676,0.122195617548299,0.0808296672431131,NA
"12","2025-06-11_PD_MD_Ofl1000_1-8_2.fcs","A",4.97697861933838,1.18,5.87283477081929,1.66725668898407,12.0557578108011,1.50672194327457,1.95103041457815,60.0012488642788,4.8526763152059,NA,500.076000276793,132.919504205295,159.127252138548,927.335963698785,0,270.631401912806,0.124979446909978,0.0808762551956631,NA
"13","2025-06-11_PD_MD_Ofl1000_1-9_1.fcs","A",5.47946470346427,1.18,6.46576835008784,2.67805691787311,11.0921393229121,1.11254736962228,1.90445204791393,60.7789859058047,3.92316933942761,NA,857.711970174842,229.178984058335,48.3451419034364,2597.93507242115,0,386.118822943769,0.10030052249021,0.0645481210480831,NA
"14","2025-06-11_PD_MD_Ofl1000_1-9_2.fcs","A",5.47606830616478,1.18,6.46176060127444,2.68044695160453,11.0989838434613,1.10155259343159,1.90606526440259,60.7787936558133,3.92359893760166,NA,848.989275168874,226.369695771635,54.6753839854617,2598.32022541807,0,386.533025503104,0.0992480581076391,0.064555393445628,NA
"15","2025-06-17_Oal250_6-1.fcs","A",4.4421487598792,1.18,5.24173553665746,1.35441665941869,12.0441352147891,1.63880197385495,1.88711118103499,53.501840308193,3.40557111889371,NA,546.718117769357,123.712758273879,0,1609.82666281564,0,341.98052083658,0.136066387883344,0.0636533453667423,NA
"16","2025-06-17_Oal250_6-3.fcs","A",4.58321449510564,1.18,5.40819310422465,1.96653810397677,11.3422441091179,0.443828852073233,1.86737758443094,51.9839376079355,2.76395621267991,NA,728.905256862986,380.394511361062,70.4602693665747,1117.614314311,0,73.3888798011224,0.0391306030626202,0.053169427709108,NA
"17","2025-06-17_Oal250_6-5.fcs","A",5.18209613112011,1.18,6.11487343472173,Inf,10.2158948046787,0.574148093349772,2.106769168813,52.9397489432553,4.25262312633283,NA,35910.0852486323,186.378382081489,0,1826.63039717758,0,222.545676542791,0.0562014492442526,0.0803294917565835,NA
"18","2025-06-17_Oal250_6-6.fcs",NA,NA,1.18,NA,3.80221059348958,11.8506183772269,0.570237115771013,1.8303845410673,54.6910941175067,3.48646823435551,NA,150.578756461438,55.26333823932,0,734.290481635773,9.70940540115647,103.147906065962,0.0481187645757646,0.0637483723924896,NA
"19","2025-06-17_Ofl250_5-5.fcs","A",5.23317512299665,1.18,6.17514664513605,1.5073801722725,11.9112383474176,1.29441640704851,1.97014724098832,62.3335962037894,4.01398048672925,NA,605.513595033865,153.92606679073,450.775017574715,1856.36085222421,0,419.960080884261,0.108671858399102,0.0643951373125691,NA
"20","2025-06-17_Ofl650_3-3+fly.fcs",NA,NA,1.18,NA,2.00817196110698,12.3711814775792,0.478419323277706,1.85134078707292,52.8400479720763,8.25061982337269,NA,658.580863044352,274.945347772005,396.153875616624,2998.64743520687,268.25141072071,292.871415851982,0.0386720802814802,0.156143306829184,NA
"21","2025-06-17_Ofl650_3-4+3-6+fly 1.fcs","A",4.96258505363667,1.18,5.85585036329127,2.24969331815744,12.2152456629107,0.404394825499785,1.85453838353402,60.6191955532606,3.37702728541101,NA,585.594305541456,299.102597001723,232.043331356007,1967.36429883704,77.1576550353431,413.052353366871,0.0331057464302707,0.0557088766122593,NA
"22","2025-06-18 MD PD_Fly.fcs",NA,NA,1.18,NA,13.3594102343727,10.4495605442627,0.321538135962966,1.91858425304924,NA,NA,NA,1896.96404391736,392.664316160582,0,NA,NA,NA,0.0307704936108061,NA,NA
"23","2025-06-18 MD PD_Ofl100_7-1_1.fcs","A",2.65929709660597,1.18,3.13797057399504,15.1801267383612,21.7908327446532,0.323453559224828,1.83495705573966,57.9482982504825,3.72549746568201,NA,2.84192524453237,0,0,1900.23123234083,113.376915305815,467.874394400384,0.0148435611899317,0.064290023661756,NA
"24","2025-06-18 MD PD_Ofl100_7-6_1.fcs","A",5.22128890824239,1.18,6.16112091172602,3.0836862263451,12.1635015009542,0.403771206204439,2.0570076356133,63.5091554723219,2.99752116076704,NA,292.598463292003,0,203.724374247872,1259.3884358493,0,191.119478177824,0.0331953102626545,0.0471982525743614,NA
"25","2025-06-18 MD PD_Ofl25_9-1_1.fcs","A",5.20027036904052,1.18,6.13631903546781,6.16728938051456,11.7400098077526,0.599379843309106,1.80824110444025,61.0512251355007,3.61866601899386,NA,211.631950770407,160.80612617159,0,4263.12098824864,76.2032441884624,464.439290834344,0.0510544584820793,0.0592726191974424,NA
"26","2025-06-18 MD PD_Ofl25_9-3_1.fcs","A",4.81033422979544,1.18,5.67619439115862,4.18842640013023,13.619739919003,1.34484123127387,1.912759939874,65.5155011332913,5.07255692868746,NA,319.819710009849,0,0,3751.37940725845,0,902.339559304047,0.0987420640387912,0.0774252938761369,NA
"27","2025-06-26_Oa_250m_20.fcs","A",4.48814872690922,1.18,5.29601549775288,3.99151078033389,12.0376129408216,0.355947502283995,1.82647877117999,54.0265971953743,2.71061475041544,NA,778.739145506271,310.969411708301,0,2273.40303208523,48.7249815752129,210.999333763844,0.029569608529023,0.0501718577724439,NA
"28","2025-06-26_Oa_250m_21.fcs","A",4.50564282323014,1.18,5.31665853141156,2.52208029683902,12.0115152970873,0.409786770527284,1.83680956674179,54.1195976944405,2.24799938257148,NA,665.463191818057,296.735052041134,0,1429.02681950094,1.58351486688199,145.849660546118,0.0341161594013582,0.0415376218290405,NA
"29","2025-06-26_Oa_250m_22.fcs","A",4.66075132238171,1.18,5.49968656041041,3.9873136812304,11.3798752990546,0.315618624902324,1.92442847398793,53.0387688486079,3.0140127179695,NA,1.40985951795314e-11,329.630877158101,0,3498.7093060316,42.522330430952,268.750947714871,0.0277348052248467,0.0568265965330492,NA
"30","2025-06-26_Oa_250m_23.fcs","A",4.77951198202683,1.18,5.63982413879166,3.73902468986216,11.3659397532147,0.316737081253636,1.94627058043989,54.3236452374848,2.46067738211176,NA,5.38666210519516e-12,141.855811808543,0,2731.08770200022,0,142.65554073873,0.027867214513789,0.0452966175475615,NA
"31","2025-06-26_Oa_250m_24.fcs","A",4.6631730883991,1.18,5.50254424431094,5.29768882586909,11.300866105093,0.414779183976593,2.5,52.6978946968713,2.67978836899142,NA,9.10470639961986e-06,0,143.175883310939,2155.37302504362,0,148.687141282734,0.0367033092967682,0.0508519056483393,NA
"32","2025-06-26_Oal_250m_18+fly.fcs","A",4.58386024120202,1.18,5.40895508461838,2.07890311728221,10.7768508398305,0.416808853819123,1.84247615435859,49.3995780900635,2.54300158756108,NA,261.755848467199,168.122551066947,0,960.945600407665,7.01630224163374,147.493745032124,0.0386763127757719,0.0514782045896176,NA
"33","2025-06-26_Ocm_250m_13.fcs","A",4.21259415218494,1.18,4.97086109957823,4.25267363162429,11.4734455890903,0.397093692255559,1.86617687118888,48.3329697940138,2.73711426780309,NA,8.67263346365783e-06,110.831598712812,0,4616.21438742455,60.2681916391442,323.491296533451,0.0346098030597837,0.0566303763138945,NA
"34","2025-06-26_Ocm_250m_14.fcs","A",4.37367758627178,1.18,5.1609395518007,1.92539634527423,11.1526493021814,0.424095195514508,1.80071390216416,48.7780922805004,2.60410264573887,NA,740.411207533601,362.433363590072,0,1157.28558242473,0,74.1095584871218,0.0380264082572342,0.0533867259663185,NA
"35","2025-06-26_Ocm_250m_15.fcs","A",4.25264065068135,1.18,5.018115967804,5.95051008571594,11.4446905235264,0.435138249936724,1.88296617374563,48.6701561548162,2.6203664779626,NA,1032.34430787454,404.015670050539,0,4584.12398217088,68.1218966457391,409.372111754313,0.0380209713003795,0.0538392864330948,NA
"36","2025-06-26_Ocm_250m_16.fcs","A",4.3297293553885,1.18,5.10908063935844,13.7412466788336,11.3379120475866,0.439816287348912,2.5,49.0900906212489,3.08737221669615,NA,2676.87853583978,0,458.479203099124,1464.81206867228,0,0,0.0387916474835003,0.0628919640934573,NA
"37","2025-06-26_Ocm_250m_17.fcs","A",4.28576459281338,1.18,5.05720221951979,3.97515504373162,11.2600206554054,0.368737452167045,1.89363549652177,48.2577978392839,2.77179024118331,NA,1.07646681773745e-07,166.122133244582,0,2262.11178713789,21.5635052325426,166.195514433656,0.0327474934062427,0.057437147265078,NA
"38","2025-06-26_Ocm_250m_18.fcs","A",4.12793511550348,1.18,4.87096343629411,9.10783304973808,11.5521203954311,0.35945929723581,2.15752434795759,47.6864034388238,4.19426291660044,NA,5.72030019892994e-07,0,76.0997479969699,2917.77087136071,0,0,0.0311163046204035,0.0879551111876407,NA
"39","2025-06-26_Ocm_250m_19_1.fcs","A",4.17888838505445,1.18,4.93108829436426,4.56012766709829,12.0696131540362,0.268326237033945,1.89755841918938,50.4375662215022,2.40951926922498,NA,4.48657810061311e-09,257.845481758855,0,2450.62670174121,0,127.075258275455,0.0222315523794741,0.0477723143627372,NA
"40","2025-06-26_Ocm_250m_19.fcs","A",4.15486150743663,1.18,4.90273657877523,9.94637419045968,12.0990575265305,0.158361537254037,2.0836010132727,50.2699083932432,2.58475787280965,1e-10,1.21083577022e-29,0,109.010031635021,2682.31255372379,0,72.8613158232872,0.0130887498391329,0.0514175966383315,NA
"41","2025-06-26_Ocm_250m_20_1.fcs","A",4.43445724280174,1.18,5.23265954650605,3.6192316133143,11.2073704182646,0.376250181244366,1.94675927344429,49.6986049240352,2.17053804318876,NA,7.40371697496225e-07,73.4261303644849,0,2875.23694356581,0,288.196032329178,0.0335716735686004,0.0436740235768478,NA
"42","2025-06-26_Ocm_250m_20.fcs","A",4.12270539383339,1.18,4.8647923647234,3.78005517673784,12.0561494156642,0.302969898749487,1.81304580954435,49.70395222482,2.17023767328915,NA,8.84009326273964e-07,66.945551568394,0,2876.19357805126,66.5729296904469,216.292849331072,0.0251299057687397,0.0436632818145481,NA
"43","2025-06-26_Ocm_250m_21.fcs","A",4.05940496711451,1.18,4.79009786119512,3.22268846493155,11.7271502791035,0.448645655425866,1.87598554155333,47.6052520930912,3.21753171465648,NA,100.016284007784,34.5937393914415,0,1379.90817516447,0,87.1111239944426,0.038257005730139,0.0675877465865458,NA
"44","2025-06-26_Ocm_250m_21+fly.fcs","A",4.39449473045101,1.18,5.18550378193219,3.97026041751379,10.6946004549916,0.620974399415141,1.94045264391015,46.9973653437396,3.63369094469729,NA,826.249622687512,389.848104193857,0,900.936719258916,1.4524265541707,56.898352735378,0.0580642916047701,0.0773169074079027,NA
"45","2025-06-26_Ocm_250m_22.fcs","A",3.99958076365419,1.18,4.71950530111194,2.90796316190611,11.6745853382102,0.287976523383231,1.86932104348026,46.6934469423448,4.58041631406159,NA,1.48346688232968e-11,218.736752331767,0,605.492875227633,9.58146578769792,19.5827828253284,0.024666959471417,0.0980954847843489,NA
"46","2025-06-26_Ocm_250m_23.fcs",NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2025-06-26_Ocm_250m_24.fcs","A",4.28277737299469,1.18,5.05367730013374,7.75791021663793,11.5207463246896,0.352954473865655,2.5,49.3407916793923,2.18451227852899,NA,1.18909167197649e-07,0,147.191387504458,1822.63540923034,0,7.25872193428982,0.0306364244050105,0.044273960837993,NA
